doc_id,dis_id
144,428
148,15
148,61
148,71
148,75
148,477
148,485
148,486
148,487
148,488
148,489
148,492
148,493
148,494
148,495
148,497
148,498
150,34
150,45
150,47
150,52
150,78
150,118
150,122
150,768
150,774
150,787
150,793
152,98
152,699
152,781
152,783
152,784
152,797
152,798
152,799
152,800
154,83
154,648
154,689
154,910
154,914
154,988
156,68
156,69
156,71
156,72
156,914
158,530
158,534
158,535
158,549
160,68
160,69
160,71
160,72
160,73
160,914
162,68
162,69
162,71
162,72
162,73
162,127
162,878
162,884
162,914
162,924
164,68
164,69
164,71
164,72
164,73
164,75
164,77
164,78
164,84
164,88
164,119
164,560
164,566
164,690
164,903
164,905
164,908
164,910
164,913
164,1063
166,68
166,69
166,71
166,72
166,73
166,126
166,127
166,129
166,130
166,131
166,941
168,60
168,61
168,63
168,135
168,137
168,138
168,240
168,267
168,956
168,967
168,970
168,972
168,973
174,68
174,71
174,73
174,988
176,68
176,72
176,73
176,164
176,988
178,689
178,1078
178,1079
178,1082
178,1083
178,1084
180,689
180,1078
180,1079
180,1080
180,1081
180,1082
180,1083
180,1084
182,71
182,78
182,83
182,84
184,13
184,59
184,426
186,13
186,59
186,426
192,21
192,240
192,995
192,1009
192,1010
194,89
194,90
194,92
194,93
194,96
194,634
194,636
194,708
194,709
194,710
194,718
194,1138
194,1161
196,164
196,1096
196,1098
196,1101
198,164
198,1094
198,1096
198,1098
198,1101
200,100
200,102
200,104
200,105
200,106
200,583
200,584
200,585
200,615
200,624
200,625
200,631
202,100
202,102
202,104
202,615
202,624
202,625
204,100
204,102
204,104
204,105
204,615
204,616
204,624
204,625
206,76
206,77
206,78
206,83
206,84
206,87
206,88
206,156
206,467
206,477
206,534
206,557
206,571
206,689
206,910
206,1160
208,76
208,77
208,78
208,83
208,84
208,87
208,88
208,122
208,212
208,467
208,505
208,525
208,546
208,547
208,557
208,575
208,577
208,655
208,689
208,910
208,1075
210,76
210,77
210,78
210,83
210,84
210,87
210,88
210,122
210,384
210,467
210,525
210,539
210,546
210,689
212,30
212,31
212,32
212,33
212,834
212,835
212,836
212,837
212,842
212,861
214,98
214,124
214,125
214,203
214,204
214,363
214,697
214,699
214,700
214,701
214,798
214,799
214,800
214,822
214,824
214,863
218,34
218,45
218,47
218,78
218,92
218,113
218,115
218,116
218,118
218,122
218,173
218,708
218,709
218,710
218,711
218,768
218,774
218,787
218,793
218,834
218,1140
219,108
219,110
219,112
219,113
219,745
219,747
219,748
220,27
220,30
220,31
220,32
220,33
220,363
220,861
220,896
221,5
221,6
221,7
221,8
221,117
221,126
221,136
221,227
221,228
221,230
221,395
221,397
221,837
221,873
221,874
221,875
221,893
221,899
222,33
222,861
223,224
223,851
223,852
223,853
223,855
223,1108
223,1109
224,224
224,851
224,852
224,853
224,855
224,1108
224,1109
225,5
225,6
225,8
225,14
225,24
225,27
225,31
225,32
225,33
225,34
225,35
225,39
225,42
225,44
225,45
225,46
225,47
225,52
225,75
225,78
225,83
225,84
225,91
225,159
225,160
225,163
225,173
225,236
225,406
225,708
225,709
225,710
225,714
225,768
225,774
225,775
225,809
225,837
225,842
225,879
225,1119
225,1124
225,1137
226,14
226,15
226,34
226,45
226,46
226,47
226,52
226,75
226,78
226,83
226,84
226,87
226,160
226,775
226,878
227,68
227,69
227,71
227,73
227,121
227,129
227,689
227,910
227,911
227,912
227,913
227,914
227,915
227,929
228,68
228,69
228,71
228,72
228,73
228,164
228,910
